user,time,mall,content
j***5,2016/3/14,京东商城,把你姐姐买的，听说挺不错～以前也买过这个型号，用了一年没发现什么问题，希望这次这个也好用
七***-,2016/3/14,京东商城,第一次用小米手机挺好的，反应也挺快的，拍照也很清晰不错的手机。支持一下哦！
果***1,2016/3/14,京东商城,小米拿到了，手感不错，也没有什么问题，具体的有待使用几天再说了，可惜没有送钢化膜和手机套～
j***u,2016/3/14,京东商城,手机觉得挺好看的，刚拿到还没怎么使用，但感觉还是不错的，而且物流挺快的，昨天晚上下单，今天上午就送到了，人还挺好。
三***7,2016/3/14,京东商城,前两天买了一个米4手机，手机都完好，但是包装里没有数据线，这该是多大几率的事件。第一次在京东上购物就发生这种情况，也真心无力吐槽。然后去联系京东售后，客服倒是蛮耐心的，但是按照他们的要求发了图片邮件什么的，说是会给我补发，可是等了好几天也没有任何回复，再打电话去问还是未处理状态，我想说到底补不补发你也给个准话啊，我想说客服态度倒是蛮好，然并卵，办事效率也该提高提高。
henningchen,2016/3/14,京东商城,试用了两天，都不错，就是有一点太差劲了，没有耳机。手机也买了不少，三星、苹果、华为，第一次碰见买智能手机没有耳机的。是诚信还是真差这点钱？
jd_906167811,2016/3/14,京东商城,买这个手机太曲折了，目前体验手机本身没问题。但是京东物流太坑了。第一次的时候物流栗一个星期没回应，我是各种找客服才又退了重新买。退款还给我退了好几天！真够我郁闷了！有了问题在线客服没一点用处，必须打电话才解决!希望京东物流靠谱点、准确点。这次购物真的太难忘了！
l***i,2016/3/14,京东商城,小米手机 还好啦 都是这款手机自身的一些问题 售价确实比官网少点，当初也是从官网逛过来的！
uEuHGdjnPwTQ,2016/3/14,京东商城,给妈咪买的手机，很漂亮，有点厚，这个价位来说可以的了，满意了
u***w,2016/3/13,京东商城,宝贝收到声音干净，清晰无杂音，配带舒适，带一天也不感觉累，连接 比别的蓝牙距离长些，很好耳机推荐。
