user,time,mall,content
藤***亚,2016/3/15,京东商城,自己手动贴膜也没有气泡，不过一不小心摔地上裂了，希望屏幕没事情
萧***生,2016/3/15,京东商城,满多少可以减部分金额，于是买了两个膜。然后，贴起来很容易，也很清晰，不错不错。还送了背膜。
j***s,2016/3/15,京东商城,"4段简短精辟的话 ：1.做你没做过的事情叫成长， 做你不愿意做的事情叫改变， 做你不敢做的事情叫突破。 2.如果你向神求助，说明你相信神的能力； 如果神没有帮助你，说明神相信你的能力。3.随着年龄的增长，我们并不是失去了一些朋友，而是我们懂得了谁才是真正的朋友。 4.当有人逼迫你去突破自己，你要感恩他.他是你生命中的贵人,也许你会因此而改变和蜕变。"
DOUBLElang,2016/3/14,京东商城,试水ios系统，虽然电源键和音量键松动，但是是5s的通病。上个套不影响强迫症了。拍照水平在以前来说是很好的，但是现在有点力不从心了啊。还有一个选5s不选6的原因，外观。5s之后的外观太难看了。
519good,2016/3/14,京东商城,以前从来不去评价，不知道浪费多少积分，自从京东积分可以抵现金的时候，才知道积分的重要。后来我就把这段话复制了，走到哪，复制到哪，即能赚积分，还非常省事；特别是不用认真的评论了，又健康快乐能么么哒。太棒了！！
j***t,2016/3/14,京东商城,好喜欢，自己贴的，感觉还是很完美。下次还会来，质量真的没话说啦！
淘尽的沙子,2016/3/14,京东商城,iphone5s能够一手掌控，是做为手小代表的我选择它的最主要理由。官网查过，是正品可以放心使用。通话声音超大，哈哈完全可以当老人机！就是这个电量，真心不怎么经用，电量掉的蛮快的。我收到的是8的系统，一直提醒要升级9，网上查说可能带不动，8够用了就一直没升级。用了两周了才来评价的，感觉还是不错的，16g够用，下了超多软件还剩下5g。偶尔还是有卡机的现象，不知道是不是我后台开太多了，第一次使用苹果啊，我不是苹果粉，我只求使用。
jd_3915702,2016/3/14,京东商城,手机是正品 未激活的，手感不错 用了几天来评价，有时候聊天键盘不好用 直接没反应 得返回重新输入，其他都挺好。总之还是比较满意 ！
jdzzcl92,2016/3/14,京东商城,很快就收到货物了，商家把商品包装的很仔细，钢化膜很好，尺寸也合适。
j***a,2016/3/14,京东商城,东西都没有收到，也没打电话，物流太不好了，真是的哦，差评，真心失败的购物.
