user,time,mall,content
风兮依云,2016/3/11,京东商城,发货快皮肤滑滑的味道不错包装好洗后很舒服是正品服务好比超市便宜泡沫丰富
亚马逊买家,2016/3/11,亚马逊,这个好！这个好！关键还不是买个自己的。。
h***8,2016/3/6,苏宁易购官方旗舰店,手机用了。还不错。支持下yonddx所有iPhone重度用户最无法忍受的就是iPhone的续航，开着3G/4G重度使用情况下基本上一上午就没电。最关键的是出门如果忘记带Lighting数据线，就算有了充电宝也只能干瞪眼，这个噩梦伴随着我从4S到5S。而这次的6 Plus由于体积变大电池容量也相当的得到了客观提升。现在不夸张的说，重度使用情况下坚持一天一点问题都没有，这个提升对于我来说简直就是神一样的存在，为了这个优点我宁愿多花几百块钱买块头更大的6 Plus。
j***2,2016/3/4,京东商城,质量不错，四个角略微厚点，能够防止摔下去时四个角因冲击力大而变形
_***苏,2016/3/2,京东商城,快递很快！机器很好！
杨阳,2016/3/1,亚马逊,很不错 全新未激活 使用一周无问题 用礼品卡 5374元入手 哈
coffeeokasi,2016/2/25,京东商城,京东速度非常快，商品也是正品，遇到特价的时候就不用说了，必须剁手啊！最幸福的就是自提点离我家很近，薅羊毛也很方便。评价不知道要说多少字才给京豆，那就多打几个吧。希望今年多点优惠券啊！
l***8,2016/2/23,京东商城,用了几天都还行，就是激活时间只有在官网才正确，在果粉，微信看的激活时间都是15年的，有点不爽！感觉买了台二手机一样
JFFBOY-me,2016/2/22,京东商城,这是我复制过来的，我自己懒得写了，但这也是我想表达的意思。我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而比较垃圾的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评
channelbin,2016/2/21,京东商城,爸爸从来没有用过苹果手机，今年给他买了一个，不错上手很快，很喜欢
