user,time,mall,content
j***5,2016/3/30,京东商城,用了几天的感受，担心是翻新机，所以隔了一段时件才来评价！觉得是很不错的机子，优点：性价比高，系统运行流畅，屏幕炫丽。到现在有些功能能不会用，怎么在给别人照相中显示自己。这个价位，个人觉得可以了，谢谢。
80***07,2016/3/30,易迅网,好用，到手后完了几天，系统流畅，稳定，做工有待提高，右下角返回键翘屏明显，完美主义者慎入。
m***n,2016/3/30,京东商城,手机还是可以的，2k屏幕显示艳丽，运行速度响应速度也很快，仔细看手机的右边，比左边空隙略大，还是可以接受的，装了个info，查看耳机接口和充电接口插拔次数为5。
J***g,2016/3/30,京东商城,毕竟是当年的旗舰，各方面都还不差，运气好没碰到问题机器，S-pen好用
jd_138541kus,2016/3/30,京东商城,挺好挺好，就是偶尔会卡下机器，可能是android自身问题吧
j***1,2016/3/30,京东商城,到货特别快，昨天晚上十点多才下单，早上十点就到货了！！感觉运行速度很快，具体用一段时间再追评，挺漂亮的！
w***6,2016/3/30,京东商城,手机还可以，买回来重启了几次，不知道是不是软件冲突造成的，批评下京东配送，川大京东派，每次买东西都不送，都要自提，关键是你们京东配送又不是免费的，我达到你们定的配送要求了你不送？那么你是不是要给我返配送费？你们不知道这个校区有多大，还要跑两公里自己取！这个问题都投诉两年了，还是这个样子，去自提，看到六七个工作人员围着两台电脑，你们这个配送站真是大爷，综上，差评，以后只要还是这样，买一次差评一次，配送站员工态度差！
绅士七度小江,2016/3/30,京东商城,很差劲这玩意 升级一个系统 内存卡上的过了半小时都不显示！这玩意差的很 还发热发烧
1***1,2016/3/30,京东商城,用了两个星期啦，手机很好用，很少卡顿，照片很清晰，只不过三星一如既往前置自拍很渣 有几次自动重启可能是因为我玩的太多？s健康特别好用。但是note4的手机壳好少而且戴上之后简直就是一块板砖 。有的时候莫名发热。功能对于不追求更多的人应该是足够的。NFC红外遥控指纹识别支付 暂时够我玩的了 但是唯一缺点就是我记得有无线充电来着但是实际没有。。快速充电只限于送自带充电器，充电快耗电也快。一直玩的话坚持不了一上午就不行了。基本一天三充。总之这个现在买还挺划算的。
c***0,2016/3/30,京东商城,这个后摄像头有问题，开摄像头后要10到20秒才会有对焦动作。已经申请换机了。这台是新机，外包装封条和机器保护膜完好。无翘屏情况。
