行政区,楼名称及栋号,三级转移登记时间
罗湖,粤海新村5栋,2016/4/1
罗湖,文锦大厦,2016/4/1
罗湖,高嘉大厦,2016/4/1
罗湖,松园南十巷1栋,2016/4/1
罗湖,住宅楼A-59栋,2016/4/1
罗湖,东乐花园101栋,2016/4/1
罗湖,金城大厦6座,2016/4/1
罗湖,景园大厦,2016/4/1
罗湖,东翠花园3栋,2016/4/1
罗湖,大地花园西座,2016/4/1
罗湖,华丽园北座,2016/4/1
罗湖,金城大厦4座,2016/4/1
罗湖,富达花园3栋,2016/4/1
罗湖,华裕花园,2016/4/1
罗湖,比华利山庄7栋,2016/4/1
罗湖,鹏兴花园6栋,2016/4/1
罗湖,金丽豪苑鹏云阁,2016/4/1
罗湖,高嘉花园高景楼6栋,2016/4/1
罗湖,翠苑大厦A栋,2016/4/1
罗湖,住宅3号1栋,2016/4/1
罗湖,长丰苑曼域轩(主楼),2016/4/1
罗湖,港逸豪庭,2016/4/1
罗湖,旭飞华天苑A栋,2016/4/1
罗湖,都市名园名汇阁D栋,2016/4/1
罗湖,金泰名苑,2016/4/1
罗湖,翠盈嘉园,2016/4/1
罗湖,今日家园明水轩,2016/4/1
罗湖,东方凤雅台3栋,2016/4/1
罗湖,心怡花园3栋,2016/4/1
罗湖,心怡花园4栋,2016/4/1
罗湖,名骏豪庭骏腾阁,2016/4/1
罗湖,名骏豪庭骏逸阁,2016/4/1
罗湖,嘉宝田花园宝贵阁(EB),2016/4/1
罗湖,金鼎大厦B栋,2016/4/1
罗湖,莲塘七小区单身宿舍B栋,2016/4/1
罗湖,世界金融中心C座,2016/4/1
罗湖,世界金融中心C座,2016/4/1
罗湖,深圳动植物检疫局新6号住宅楼,2016/4/1
罗湖,乐扬枫景阁,2016/4/1
罗湖,鸿翔花园1栋A座,2016/4/1
罗湖,朗钜御风庭1号楼,2016/4/1
罗湖,新银座B栋,2016/4/1
罗湖,新银座C栋,2016/4/1
福田,南天大厦3栋,2016/4/1
福田,黄木岗西区13栋,2016/4/1
福田,振业花园01栋,2016/4/1
福田,园岭新村86栋,2016/4/1
福田,景新花园景晖阁,2016/4/1
福田,南天大厦第4栋,2016/4/1
福田,南天大厦第4栋,2016/4/1
福田,吉莲大厦2栋,2016/4/1
福田,东海花园2栋,2016/4/1
福田,美莲花园A栋,2016/4/1
福田,长泰花园B座,2016/4/1
福田,长城大厦16栋,2016/4/1
福田,碧荔花园碧樱阁,2016/4/1
福田,紫玉花园,2016/4/1
福田,桑达新村5栋,2016/4/1
福田,香蜜三村4栋,2016/4/1
福田,嘉洲豪园B1栋,2016/4/1
福田,益田花园E区17栋,2016/4/1
福田,旭飞花园A2栋,2016/4/1
福田,香蜜新村8栋,2016/4/1
福田,碧云天天字楼,2016/4/1
福田,都市花园乐庭轩,2016/4/1
福田,紫薇阁,2016/4/1
福田,汇龙花园5栋,2016/4/1
福田,汇龙花园10栋,2016/4/1
福田,汇龙花园13栋,2016/4/1
福田,天泽花园天逸苑,2016/4/1
福田,天泽花园天逸苑,2016/4/1
福田,荔林苑,2016/4/1
福田,福岗园,2016/4/1
福田,金色家园一期1号楼（A栋）,2016/4/1
福田,碧华庭居4-6栋,2016/4/1
福田,彩福大厦,2016/4/1
福田,黄埔雅苑翠悠园3A-6栋,2016/4/1
福田,香蜜三村5号楼,2016/4/1
福田,景鹏大厦,2016/4/1
福田,皇御苑A区1-4栋,2016/4/1
福田,康欣园(A、B栋),2016/4/1
福田,深荣大厦,2016/4/1
福田,群星广场,2016/4/1
福田,天健阳光华苑,2016/4/1
福田,江苏大厦,2016/4/1
福田,东方欣悦居,2016/4/1
福田,东方欣悦居,2016/4/1
福田,天然居二区,2016/4/1
福田,金海丽名居A座,2016/4/1
福田,香蜜湖豪庭,2016/4/1
福田,金地海景花园E区38栋,2016/4/1
福田,福民大厦A栋,2016/4/1
福田,港城华庭3号塔楼,2016/4/1
福田,黄埔雅苑逸悠园3栋,2016/4/1
福田,汇港名苑,2016/4/1
