行政区,楼名称及栋号,三级转移登记时间
罗湖,友谊大厦5栋,2016/3/1
罗湖,愉天小区1栋,2016/3/1
罗湖,景贝南4栋,2016/3/1
罗湖,锦绣大厦B栋,2016/3/1
罗湖,华丽园1#住宅,2016/3/1
罗湖,佳宁娜友谊广场A座,2016/3/1
罗湖,畔山花园4栋,2016/3/1
罗湖,玉雅居6栋,2016/3/1
罗湖,碧水园,2016/3/1
罗湖,绿景山庄12栋,2016/3/1
罗湖,莲通楼A栋,2016/3/1
罗湖,鸿怡阁怡绿庭,2016/3/1
罗湖,集浩花园集安阁,2016/3/1
罗湖,翠盈嘉园,2016/3/1
罗湖,翡翠园山湖居B栋,2016/3/1
罗湖,金城华庭4栋,2016/3/1
罗湖,金城华庭4栋,2016/3/1
罗湖,虹桥星座大厦A座,2016/3/1
罗湖,城市天地广场D座,2016/3/1
罗湖,城市天地广场D座,2016/3/1
罗湖,百仕达花园（四期西区）5栋,2016/3/1
福田,福星花园福洪阁,2016/3/1
福田,长城大厦6栋,2016/3/1
福田,梅林二村09栋,2016/3/1
福田,莲花一村(通泽苑)30栋,2016/3/1
福田,鹏盛村高层公寓4栋,2016/3/1
福田,鹏益花园3栋,2016/3/1
福田,鹏益花园6栋,2016/3/1
福田,都市花园乐庭轩,2016/3/1
福田,银庄大厦银月阁,2016/3/1
福田,业城阁,2016/3/1
福田,新活力花园2栋,2016/3/1
福田,中海华庭华景峰2座(南区B2栋),2016/3/1
福田,景发花园,2016/3/1
福田,景发花园,2016/3/1
福田,景发花园,2016/3/1
福田,豪峰园6-7栋,2016/3/1
福田,群星广场,2016/3/1
福田,御庭园,2016/3/1
福田,梅林一村2栋,2016/3/1
福田,港城华庭2号塔楼,2016/3/1
福田,汇港名苑,2016/3/1
福田,蓝宝石名庭,2016/3/1
福田,京海花园,2016/3/1
福田,皇御苑B区10栋,2016/3/1
福田,皇庭世纪花园8号楼,2016/3/1
福田,红树家邻名苑听涛轩,2016/3/1
福田,知本大厦,2016/3/1
福田,星座大厦,2016/3/1
福田,鹏基单身公寓第42栋,2016/3/1
南山,爱榕园住宅楼5栋,2016/3/1
南山,爱榕园住宅楼6栋,2016/3/1
南山,科技园34小区4栋,2016/3/1
南山,大陆庄园1号,2016/3/1
南山,教工住宅楼2栋,2016/3/1
南山,汇园雅居,2016/3/1
南山,阳光海景豪苑A座,2016/3/1
南山,山水情家园2号楼,2016/3/1
南山,南粤明珠,2016/3/1
南山,深圳湾畔花园,2016/3/1
南山,南海玫瑰花园30栋,2016/3/1
南山,现代城梦想家园,2016/3/1
南山,红树东方家园12栋(碧海云天二期),2016/3/1
南山,麒麟花园A区28栋,2016/3/1
南山,新一代大厦,2016/3/1
南山,现代城华庭5栋,2016/3/1
南山,滨海之窗花园4栋,2016/3/1
宝安,嘉华花园一栋,2016/3/1
宝安,松兴大厦,2016/3/1
宝安,弘雅花园三期雅豪轩B栋,2016/3/1
宝安,雅仕阁一栋,2016/3/1
宝安,福侨花园13栋,2016/3/1
宝安,新安湖花园新碧阁,2016/3/1
宝安,潜龙花园十栋,2016/3/1
宝安,观澜豪园B栋,2016/3/1
宝安,碧涛居6号楼,2016/3/1
宝安,庆华花园D栋,2016/3/1
宝安,绿茵华庭1栋,2016/3/1
宝安,金景豪苑1栋,2016/3/1
宝安,银泉花园7栋,2016/3/1
宝安,丽景城7栋,2016/3/1
宝安,冠城世家6栋,2016/3/1
宝安,世外桃源11栋,2016/3/1
宝安,优品建筑6栋,2016/3/1
宝安,苹果园1栋,2016/3/1
宝安,创业二村17栋,2016/3/1
宝安,桦润馨居C区C1栋,2016/3/1
宝安,富通*好旺角1栋,2016/3/1
宝安,日出印象花园B区10栋,2016/3/1
宝安,金泓凯旋城4栋,2016/3/1
宝安,73区12号楼,2016/3/1
宝安,碧海富通城A栋,2016/3/1
宝安,金地梅陇镇花园一期2栋,2016/3/1
宝安,东江豪苑1栋,2016/3/1
宝安,菁英趣庭1栋,2016/3/1
宝安,君逸世家花园1栋,2016/3/1
宝安,碧水龙庭3栋,2016/3/1
宝安,碧海富通城8栋,2016/3/1
宝安,海语西湾花园1栋,2016/3/1
宝安,阳光海湾花园16栋,2016/3/1
宝安,兴达华府1栋,2016/3/1
宝安,中海西岸华府（南区）6栋,2016/3/1
龙岗,德兴花园德禄苑4栋,2016/3/1
龙岗,紫薇花园东9栋,2016/3/1
龙岗,荣超花园8栋,2016/3/1
龙岗,丽湖花园16栋湖澜阁,2016/3/1
龙岗,丽湖花园15栋湖轩阁,2016/3/1
龙岗,粤宝花园3栋,2016/3/1
龙岗,鸿基花园西区3号楼,2016/3/1
龙岗,龙珠花园龙凰阁,2016/3/1
龙岗,新亚洲广场新景苑,2016/3/1
龙岗,东方半岛花园B区8栋,2016/3/1
龙岗,中兆花园7栋(景庭轩),2016/3/1
龙岗,中兆花园6栋(美庭轩),2016/3/1
龙岗,竹雅名居竹韵苑,2016/3/1
龙岗,中城康桥花园J栋,2016/3/1
龙岗,桂芳园五期17栋(绿茵居),2016/3/1
龙岗,和兴花园三期1栋,2016/3/1
龙岗,九州家园一期5栋,2016/3/1
龙岗,金洲嘉丽园5#楼,2016/3/1
龙岗,宝龙花园住宅部分,2016/3/1
龙岗,楚丰广场2栋,2016/3/1
龙岗,水晶之城商业C段,2016/3/1
