行政区,楼名称及栋号,三级转移登记时间
罗湖,友谊大厦6栋,2016/5/2
罗湖,云景豪园雅景阁,2016/5/2
罗湖,东方都会大厦B座,2016/5/2
福田,鹏益花园5栋,2016/5/2
南山,荔馨村D栋,2016/5/2
罗湖,龙园山庄16栋,2016/5/2
龙岗,阳光花园17栋,2016/5/2
盐田,福苑,2016/5/2
福田,御景华城花园5栋,2016/5/2
罗湖,双城世纪大厦,2016/5/2
罗湖,东方.尊峪花园雍怡阁,2016/5/2
罗湖,海丰苑黄山阁,2016/5/3
罗湖,景贝南9栋,2016/5/3
罗湖,红群楼3栋6号,2016/5/3
罗湖,比华利山庄8栋,2016/5/3
罗湖,新港鸿花园5C区21栋,2016/5/3
罗湖,百仕达花园百怡苑18栋,2016/5/3
罗湖,大澎花园景泰阁,2016/5/3
罗湖,俊园,2016/5/3
罗湖,怡景花园牡丹村中心商场地段A3栋,2016/5/3
罗湖,鹏兴花园34栋,2016/5/3
罗湖,和平广场玉庭轩,2016/5/3
罗湖,旭飞华天苑A栋,2016/5/3
罗湖,聚福花园A栋,2016/5/3
罗湖,云景豪园丽景阁,2016/5/3
罗湖,梧桐山新居二期3栋,2016/5/3
罗湖,嘉宝田花园宝华阁(D),2016/5/3
罗湖,碧岭华庭2号楼,2016/5/3
罗湖,海关住宅楼14栋,2016/5/3
罗湖,阳光天地家园A座天地轩,2016/5/3
罗湖,东方都会大厦A座,2016/5/3
罗湖,新银座C栋,2016/5/3
福田,海连大厦连天阁,2016/5/3
福田,教学综合楼,2016/5/3
福田,鹏益花园4栋,2016/5/3
福田,鹏益花园5栋,2016/5/3
福田,合正园,2016/5/3
福田,益田花园F区26栋,2016/5/3
福田,海康大厦,2016/5/3
福田,益田村114栋,2016/5/3
福田,鑫竹苑B栋,2016/5/3
福田,蓝天绿都家园主楼,2016/5/3
福田,金怡华庭3栋,2016/5/3
福田,香诗美林花园1栋,2016/5/3
福田,星座大厦,2016/5/3
宝安,裕宝大厦,2016/5/3
宝安,雅涛花园B栋,2016/5/3
宝安,海滨广场B栋,2016/5/3
宝安,风和日丽花园D组团A栋,2016/5/3
宝安,锦绣江南A2栋,2016/5/3
宝安,天骄世家6栋,2016/5/3
宝安,新阳丽舍1栋,2016/5/3
宝安,创业二村1栋,2016/5/3
宝安,日出印象花园B区5栋,2016/5/3
宝安,泰华*俊庭(1栋),2016/5/3
宝安,香缤广场1栋,2016/5/3
宝安,鸿隆广场1栋,2016/5/3
宝安,潜龙*鑫茂花园C区1栋,2016/5/3
宝安,碧海富通城D栋,2016/5/3
宝安,金地梅陇镇花园一期2栋,2016/5/3
宝安,天欣花园（三期）B栋,2016/5/3
宝安,春华四季园41栋,2016/5/3
宝安,桃源盛世园1#-6#楼,2016/5/3
宝安,深业*新岸线18栋,2016/5/3
宝安,24区D栋,2016/5/3
宝安,鸿荣源禧园1栋,2016/5/3
宝安,金地梅陇镇花园18栋,2016/5/3
宝安,锦明花园1栋,2016/5/3
龙岗,南岭花园3栋(丽景阁),2016/5/3
龙岗,茂业城怡德楼,2016/5/3
龙岗,茂业城怡丰楼,2016/5/3
龙岗,德兴花园德贵苑8栋,2016/5/3
龙岗,丽湖花园丽信阁E栋,2016/5/3
龙岗,紫薇花园南1栋,2016/5/3
龙岗,吉信大厦,2016/5/3
龙岗,龙岭山庄11栋,2016/5/3
龙岗,东方半岛花园B区7栋,2016/5/3
龙岗,中兆花园3栋,2016/5/3
龙岗,布吉广场,2016/5/3
龙岗,国展苑6号楼(国泰台),2016/5/3
龙岗,桂芳园五期19栋(依涛居),2016/5/3
龙岗,九州家园二期13栋,2016/5/3
龙岗,大世纪水山缘5栋,2016/5/3
龙岗,桂芳园六期24栋,2016/5/3
龙岗,桂芳园(七期)28号楼,2016/5/3
龙岗,龙城国际花园3号楼,2016/5/3
龙岗,绿色满庭芳,2016/5/3
龙岗,阳光花园18栋,2016/5/3
龙岗,水岸新都四、五期39号楼,2016/5/3
龙岗,依山郡花园（三期）27栋,2016/5/3
龙岗,振业峦山谷花园（一期）2、3栋,2016/5/3
盐田,海滨花园A座,2016/5/3
龙岗,盈富家园AB区,2016/5/3
福田,城市主场公寓A座,2016/5/3
罗湖,嘉宝田花园(二期)宝富阁(J),2016/5/3
罗湖,联城美园秀美阁,2016/5/3
罗湖,松泉山庄松泉阁,2016/5/3
福田,星河世纪大厦B栋,2016/5/3
福田,云顶翠峰花园三期B座,2016/5/3
福田,祥云天都世纪大厦,2016/5/3
罗湖,双城世纪大厦,2016/5/3
福田,美晨苑美麟阁,2016/5/3
福田,蜜园,2016/5/3
福田,福源花园三期汇海苑,2016/5/3
罗湖,翠山花半里雅筑,2016/5/3
龙岗,康达尔蝴蝶堡2栋,2016/5/3
龙岗,康达尔蝴蝶堡2栋,2016/5/3
罗湖,航天晴山月名园2栋,2016/5/3
宝安,书香门第上河坊广场1栋,2016/5/3
宝安,书香门第上河坊广场1栋,2016/5/3
龙岗,盛龙花园二期11号楼,2016/5/3
龙岗,盛龙花园二期1号楼,2016/5/3
南山,太古城花园（北区）一期,2016/5/3
南山,太古城花园（北区）一期,2016/5/3
宝安,金地上塘道花园8栋,2016/5/3
龙岗,东方瑞景苑小户型住宅,2016/5/3
龙岗,首创八意府1栋,2016/5/3
龙岗,首创八意府1栋,2016/5/3
宝安,藏珑苑2栋,2016/5/3
龙岗,星河时代花园B区B7栋,2016/5/3
龙岗,星河时代花园B区B7栋,2016/5/3
龙岗,豪方菁园,2016/5/3
南山,阳光里雅居,2016/5/3
宝安,星河盛世花园(一期)1栋,2016/5/3
龙岗,信义御城豪园1栋,2016/5/3
宝安,锦绣御园（三期）7栋,2016/5/3
龙岗,振业峦山谷花园二期4栋,2016/5/3
宝安,龙泽榕园B栋,2016/5/3
龙岗,颐安都会中央花园I区2栋,2016/5/3
龙岗,保利上城花园4栋,2016/5/3
盐田,御景台雅园B栋,2016/5/3
龙岗,佳兆业中央广场一期1栋,2016/5/3
龙岗,佳兆业悦峰花园1栋,2016/5/3
罗湖,书院街4栋,2016/5/4
罗湖,愉天小区3栋,2016/5/4
罗湖,海丽大厦丽珠阁,2016/5/4
罗湖,德兴大厦4栋,2016/5/4
罗湖,文华大厦西座,2016/5/4
罗湖,深圳电视台宿舍A栋,2016/5/4
罗湖,畔山花园13栋,2016/5/4
罗湖,洪湖大厦(10-19层),2016/5/4
罗湖,莲塘七小区单身宿舍B栋,2016/5/4
罗湖,祥青苑,2016/5/4
罗湖,时尚新居1栋,2016/5/4
罗湖,旭飞华天苑A栋,2016/5/4
罗湖,新港鸿花园东湖阁,2016/5/4
罗湖,骏庭名园,2016/5/4
罗湖,海珑华苑海天阁,2016/5/4
罗湖,布心花园12栋,2016/5/4
罗湖,宝湖名园1栋,2016/5/4
罗湖,今日家园明秀轩,2016/5/4
罗湖,华清园A栋,2016/5/4
罗湖,心怡花园7栋,2016/5/4
罗湖,海关48号大院5栋,2016/5/4
罗湖,大地苑1栋,2016/5/4
罗湖,城建综合楼1栋,2016/5/4
罗湖,嘉年华名苑,2016/5/4
罗湖,蕙兰雅居5栋,2016/5/4
