行政区,楼名称及栋号,三级转移登记时间
罗湖,鹏基工业区104栋,2016/6/1
罗湖,比华利山庄4栋,2016/6/1
罗湖,宏安楼,2016/6/1
罗湖,旭飞华达园东京阁,2016/6/1
罗湖,旭飞华达园富士阁,2016/6/1
罗湖,新丰大厦A栋,2016/6/1
罗湖,集建国际名园A座,2016/6/1
福田,泰美园B座,2016/6/1
福田,金色家园三期11号楼,2016/6/1
福田,申汇基合正逸园D栋,2016/6/1
福田,港丽豪园二期西座,2016/6/1
福田,玮鹏花园1号楼,2016/6/1
福田,皇御苑B区14栋,2016/6/1
福田,金港豪庭F座,2016/6/1
福田,全海花园3栋,2016/6/1
南山,荔枝苑7栋,2016/6/1
南山,蓬莱花园3栋,2016/6/1
南山,南海城中心9栋,2016/6/1
南山,碧茵苑,2016/6/1
南山,陶然居1号单身公寓,2016/6/1
南山,水木华庭5号楼,2016/6/1
南山,鼎太风华社区三栋,2016/6/1
南山,欧陆经典花园二栋,2016/6/1
宝安,中商花园B栋,2016/6/1
宝安,福安大厦一栋,2016/6/1
宝安,观澜豪园*假日*赛维纳D栋,2016/6/1
宝安,观澜豪园*假日*赛维纳D栋,2016/6/1
宝安,嘉逸花园2栋,2016/6/1
宝安,世外桃源1栋,2016/6/1
宝安,白金酒店公寓1栋,2016/6/1
宝安,山语华庭1栋,2016/6/1
宝安,星河丹堤花园E区4栋,2016/6/1
宝安,碧海富通城7栋,2016/6/1
宝安,兴达华府1栋,2016/6/1
宝安,兴达华府1栋,2016/6/1
宝安,凤凰雅居1栋,2016/6/1
龙岗,康达尔花园5栋,2016/6/1
龙岗,鹏达花园10栋,2016/6/1
龙岗,横岗城市中心花园6栋,2016/6/1
龙岗,横岗城市中心花园7栋,2016/6/1
龙岗,大世纪水山缘1栋,2016/6/1
龙岗,中城康桥花园二期23栋,2016/6/1
龙岗,怡康家园B栋,2016/6/1
龙岗,大世纪花园（三期）,2016/6/1
龙岗,榭丽花园三期,2016/6/1
龙岗,锦龙名苑5号楼,2016/6/1
龙岗,景和园5号楼,2016/6/1
龙岗,中海康城花园A区1-3栋,2016/6/1
龙岗,振业城二、三期2K-1栋,2016/6/1
盐田,碧桐湾（塔楼A）,2016/6/1
龙岗,盈富家园AB区,2016/6/1
罗湖,一品东门雅园南楼,2016/6/1
南山,南海玫瑰花园（二期）13栋,2016/6/1
罗湖,东门天地大厦A座,2016/6/1
福田,缔梦园三期B座,2016/6/1
罗湖,淘金山湖景花园一期6号楼,2016/6/1
福田,江南名苑,2016/6/1
福田,高发城驰苑1栋,2016/6/1
南山,诺德假日花园5号楼,2016/6/1
盐田,金水湾御园C座,2016/6/1
南山,雷圳碧榕湾海景花园4栋,2016/6/1
福田,阳光天下花园B栋,2016/6/1
南山,四海公寓,2016/6/1
龙岗,公园大地花园七期25栋,2016/6/1
福田,皇御苑C区B地块21栋,2016/6/1
南山,三湘海尚花园二期,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,东方瑞景苑小户型住宅,2016/6/1
龙岗,慢城四期2栋,2016/6/1
宝安,桃源峰景园11栋,2016/6/1
龙岗,阅山华府三期1号楼,2016/6/1
龙岗,阅山华府三期1号楼,2016/6/1
宝安,曦谷花园1栋,2016/6/1
宝安,桃源峰景园6栋,2016/6/1
龙岗,融湖世纪花园7号楼,2016/6/1
宝安,润恒尚园7栋,2016/6/1
龙岗,熙璟城豪苑1栋,2016/6/1
福田,山语清晖花园5号楼,2016/6/1
盐田,御景台雅园A栋,2016/6/1
龙岗,佳兆业中央广场一期1栋,2016/6/1
龙岗,佳兆业中央广场一期1栋,2016/6/1
龙岗,御峰园I3栋,2016/6/1
罗湖,粤海新村1栋,2016/6/2
罗湖,通发花园1栋,2016/6/2
罗湖,兴华广场1-8号,2016/6/2
罗湖,国晖大厦,2016/6/2
罗湖,旭飞华天苑B栋,2016/6/2
罗湖,布心花园12栋,2016/6/2
罗湖,百仕达花园三期4栋,2016/6/2
罗湖,旭飞华达园京都阁,2016/6/2
罗湖,嘉宝田花园鸿福阁(F),2016/6/2
罗湖,金鼎大厦B栋,2016/6/2
罗湖,丹枫白露苑B座,2016/6/2
罗湖,城市天地广场D座,2016/6/2
福田,下步庙南区04栋,2016/6/2
福田,下步庙南区04栋,2016/6/2
福田,园岭新村30栋,2016/6/2
福田,莲花北60栋,2016/6/2
福田,锦河苑4栋,2016/6/2
福田,振业梅苑A栋,2016/6/2
福田,东方玫瑰花园21栋,2016/6/2
福田,海华阁,2016/6/2
福田,单身宿舍第04栋,2016/6/2
福田,单身宿舍第04栋,2016/6/2
福田,单身宿舍第04栋,2016/6/2
福田,单身宿舍第04栋,2016/6/2
福田,城市绿洲花园2栋,2016/6/2
福田,缔馨园B栋,2016/6/2
福田,广业大厦东座,2016/6/2
福田,汇港名苑,2016/6/2
福田,幸福家园C座,2016/6/2
福田,阁林网苑,2016/6/2
南山,金竹园大厦南座3栋,2016/6/2
南山,豪方花园七栋,2016/6/2
南山,翠竹园职工住宅楼11栋,2016/6/2
南山,仓前锦福苑04-05栋,2016/6/2
南山,汇景花园,2016/6/2
南山,榆园三期住宅楼13栋,2016/6/2
南山,苏豪名厦,2016/6/2
南山,世纪村1栋,2016/6/2
南山,蔚蓝海岸社区三期36栋,2016/6/2
南山,桃源村101栋,2016/6/2
宝安,灵芝新村A座,2016/6/2
宝安,宝新花园B栋,2016/6/2
宝安,泰安花园一栋(1-4号楼),2016/6/2
宝安,中商花园B栋,2016/6/2
宝安,观澜豪园*假日*赛维纳C栋,2016/6/2
宝安,大益广场1栋,2016/6/2
宝安,皓月花园3栋,2016/6/2
宝安,白金酒店公寓1栋,2016/6/2
宝安,中航阳光新苑5栋,2016/6/2
宝安,日出印象花园B区6栋,2016/6/2
宝安,天欣花园（三期）A栋,2016/6/2
宝安,风临洲苑1栋,2016/6/2
宝安,金地梅陇镇花园12栋,2016/6/2
宝安,丹枫雅苑1栋,2016/6/2
宝安,龙腾阁15栋,2016/6/2
宝安,碧海富通城15栋,2016/6/2
龙岗,中房怡芬花园B栋,2016/6/2
龙岗,德福花园德昌苑,2016/6/2
龙岗,龙珠花园明珠苑8栋,2016/6/2
龙岗,茂业城怡贵楼,2016/6/2
龙岗,碧湖玫瑰园3栋,2016/6/2
龙岗,中海怡翠山庄59栋,2016/6/2
龙岗,和通花园3栋,2016/6/2
龙岗,桂芳园六期25栋,2016/6/2
龙岗,大世纪水山缘二期9栋,2016/6/2
龙岗,第五园M1栋,2016/6/2
龙岗,英郡年华花园1栋,2016/6/2
龙岗,劲嘉.龙园印象名苑商住楼,2016/6/2
龙岗,怡瑞山居2号楼,2016/6/2
龙岗,水岸新都四、五期38号楼,2016/6/2
龙岗,茗萃园二期7号楼,2016/6/2
盐田,海天一色雅居(祥和楼),2016/6/2
盐田,福苑,2016/6/2
龙岗,盈富家园AB区,2016/6/2
罗湖,新天地名居D栋,2016/6/2
罗湖,新天地名居E栋,2016/6/2
罗湖,新天地名居A栋,2016/6/2
南山,漾日湾畔4座,2016/6/2
南山,漾日湾畔6座,2016/6/2
福田,时尚新天地名苑主楼,2016/6/2
福田,香域中央花园1栋,2016/6/2
福田,金地海景花园21栋,2016/6/2
罗湖,都心名苑,2016/6/2
南山,中信红树湾花城10栋,2016/6/2
南山,中信红树湾花城T3栋,2016/6/2
南山,城市山谷花园8栋,2016/6/2
南山,御景东方花园2号楼,2016/6/2
南山,星海名城六期1栋,2016/6/2
南山,新德家园D栋,2016/6/2
南山,中信红树湾花城19栋,2016/6/2
罗湖,双御雅轩,2016/6/2
福田,阳光天下花园B栋,2016/6/2
南山,桃源村三期1栋,2016/6/2
南山,太古城花园（南区）,2016/6/2
南山,香山里花园（一期）2栋,2016/6/2
宝安,花样年花郡家园,2016/6/2
宝安,高发西岸花园2栋,2016/6/2
罗湖,凤凰印象花园,2016/6/2
龙岗,第五园（六期）3栋,2016/6/2
龙岗,深业紫麟山花园H4-H6栋,2016/6/2
宝安,桃源峰景园18栋,2016/6/2
宝安,藏珑苑5栋,2016/6/2
宝安,花半里清湖花园1栋,2016/6/2
龙岗,广业成学府道花园3栋,2016/6/2
龙岗,深业御园1号楼,2016/6/2
南山,澳城花园（北区）,2016/6/2
宝安,星河盛世花园（二期）,2016/6/2
福田,锦庐花园2栋,2016/6/2
龙岗,信义御城豪园1栋,2016/6/2
龙岗,嘉宏湾花园二期1号楼,2016/6/2
宝安,汇龙湾花园1栋,2016/6/2
龙岗,深房尚林花园1栋,2016/6/2
龙岗,佳兆业悦峰花园6栋,2016/6/2
罗湖,东方皇宫大厦北座,2016/6/3
罗湖,粤海花园芙蓉阁,2016/6/3
罗湖,鹏基工业区104栋,2016/6/3
罗湖,宁水花园4栋,2016/6/3
罗湖,西湖大厦,2016/6/3
罗湖,金园,2016/6/3
罗湖,和平广场玉庭轩,2016/6/3
罗湖,金泰名苑,2016/6/3
罗湖,逸湖居,2016/6/3
罗湖,紫荆花园紫馨阁,2016/6/3
罗湖,深城公寓,2016/6/3
罗湖,翡翠园山湖居二期D栋,2016/6/3
罗湖,朗钜御风庭1号楼,2016/6/3
福田,滨江新村东区27栋,2016/6/3
福田,下步庙南区34栋,2016/6/3
福田,福华新村36栋,2016/6/3
福田,竹子林38栋(二建),2016/6/3
福田,鹏盛村7栋,2016/6/3
福田,南天大厦第5栋,2016/6/3
福田,东景花园第1栋,2016/6/3
福田,伟柏花园伟俊阁A座,2016/6/3
福田,鹏盛村高层公寓4栋,2016/6/3
福田,景田天健花园17栋,2016/6/3
福田,卫检住宅大厦,2016/6/3
福田,裕亨花园高层,2016/6/3
福田,泰安轩A，B座,2016/6/3
福田,金海湾花园1栋,2016/6/3
福田,华安园,2016/6/3
福田,天然居二区,2016/6/3
福田,蓝湾半岛社区A栋,2016/6/3
福田,蓝湾半岛社区F栋,2016/6/3
福田,朗晴馨洲,2016/6/3
福田,皇都广场2号楼,2016/6/3
福田,皇御苑B区12栋,2016/6/3
福田,红树家邻名苑乘风轩,2016/6/3
福田,金茂礼都B栋,2016/6/3
南山,蛇口振兴2栋,2016/6/3
南山,振兴6栋,2016/6/3
南山,西丽湖渡假村职工住宅3栋,2016/6/3
南山,世界花园樱花居4栋,2016/6/3
南山,桃源村57栋,2016/6/3
南山,南头花园永发楼,2016/6/3
南山,创世纪滨海花园4座,2016/6/3
南山,星海名城组团四第4栋,2016/6/3
南山,心语家园,2016/6/3
南山,海印长城小区一期,2016/6/3
南山,如意家园3-4栋,2016/6/3
南山,汇宾广场二期汇绣阁,2016/6/3
南山,南山医院职工宿舍2栋,2016/6/3
南山,城市假日花园9栋,2016/6/3
南山,半山海景.兰溪谷9栋,2016/6/3
南山,英达.钰龙园C栋,2016/6/3
宝安,住宅十五栋,2016/6/3
宝安,东乐花园第一栋,2016/6/3
宝安,富盈门花园D栋,2016/6/3
宝安,桃源居三区Ⅱ栋,2016/6/3
宝安,融景园1栋,2016/6/3
宝安,德业新城花园B区3号楼,2016/6/3
宝安,圣莫丽斯花园B03栋,2016/6/3
宝安,君逸世家花园1栋,2016/6/3
宝安,碧海富通城5栋,2016/6/3
宝安,东华明珠园1栋,2016/6/3
宝安,中航格澜花园2栋,2016/6/3
宝安,幸福海岸8栋,2016/6/3
宝安,海语西湾花园1栋,2016/6/3
龙岗,丽湖花园2栋湖滨阁,2016/6/3
龙岗,荣兴大厦,2016/6/3
龙岗,百合星城A-C栋,2016/6/3
龙岗,宝龙花园住宅部分,2016/6/3
龙岗,丽廷豪苑,2016/6/3
龙岗,桂芳园六期27栋,2016/6/3
龙岗,可园一期2号楼,2016/6/3
龙岗,布吉中心花园,2016/6/3
龙岗,可园二期6号楼,2016/6/3
龙岗,怡康家园A栋,2016/6/3
龙岗,可园(五期)14号楼,2016/6/3
龙岗,翡翠星光园,2016/6/3
龙岗,英郡年华花园二期5栋,2016/6/3
龙岗,英郡年华花园二期5栋,2016/6/3
龙岗,茗萃园一期4号楼,2016/6/3
龙岗,华浩源四期1栋,2016/6/3
盐田,外经单身宿舍,2016/6/3
罗湖,一品东门雅园南楼,2016/6/3
南山,南海玫瑰花园（二期）33栋,2016/6/3
南山,南海玫瑰花园（二期）36栋,2016/6/3
罗湖,新天地名居E栋,2016/6/3
福田,御景华城花园2栋,2016/6/3
罗湖,南塘商业广场B区,2016/6/3
福田,祥云天都世纪大厦,2016/6/3
罗湖,阳光绿地家园1-3号楼,2016/6/3
南山,名家富居9栋,2016/6/3
福田,时代星居,2016/6/3
罗湖,合正锦湖逸园2座,2016/6/3
南山,水湾源华后海综合楼,2016/6/3
福田,天居水木澜山居1栋,2016/6/3
福田,皇御苑C区A地块19栋,2016/6/3
南山,百丽湾花园,2016/6/3
南山,桃源村三期3栋,2016/6/3
南山,鼎太风华社区七期16-18、20座,2016/6/3
南山,中海阳光玫瑰园2栋,2016/6/3
南山,阳光花地苑A座,2016/6/3
宝安,观湖园B23栋,2016/6/3
龙岗,上品雅园3栋,2016/6/3
福田,皇御苑C区B地块20栋,2016/6/3
宝安,花乡家园,2016/6/3
宝安,桃源峰景园8栋,2016/6/3
宝安,黄金大厦1栋,2016/6/3
龙岗,豪方菁园,2016/6/3
福田,兰江山第花园一期1栋,2016/6/3
宝安,领航里程花园10栋,2016/6/3
宝安,领航里程花园13栋,2016/6/3
宝安,深房传麒山5号楼,2016/6/3
南山,恒裕滨城花园（一期）,2016/6/3
宝安,康达尔山海上园（一期）A区2号楼,2016/6/3
罗湖,嘉宾花园嘉华阁,2016/6/6
罗湖,富达花园1栋,2016/6/6
罗湖,金兴公寓,2016/6/6
罗湖,新秀村33栋,2016/6/6
罗湖,俊园,2016/6/6
罗湖,万达丰大厦,2016/6/6
罗湖,祥和花园二期D栋,2016/6/6
罗湖,太阳新城3栋,2016/6/6
罗湖,南方证券大厦C栋,2016/6/6
罗湖,名都大厦C塔,2016/6/6
罗湖,怡泰大厦B座,2016/6/6
福田,莲花北73栋,2016/6/6
福田,园岭新村82栋,2016/6/6
福田,国皇大厦紫云阁,2016/6/6
福田,东海花园6栋,2016/6/6
福田,金宝城大厦金宝阁,2016/6/6
福田,国皇大厦紫云阁,2016/6/6
福田,碧云天碧字楼,2016/6/6
福田,锦文阁,2016/6/6
福田,振业翠海花园一期B区,2016/6/6
福田,海华阁,2016/6/6
福田,海华阁,2016/6/6
福田,嘉洲豪园二期,2016/6/6
福田,盛世家园,2016/6/6
福田,皇达东方雅苑2栋,2016/6/6
福田,新阁小区单身宿舍7栋,2016/6/6
南山,南油B区64栋,2016/6/6
南山,浪琴屿花园第3单元,2016/6/6
南山,万象新园凭海阁（C栋）,2016/6/6
南山,纯水岸E栋,2016/6/6
南山,深圳湾锦缎之滨第7-8栋,2016/6/6
南山,心语雅园,2016/6/6
南山,英达.钰龙园C栋,2016/6/6
宝安,风和日丽花园D组团B栋,2016/6/6
宝安,大益广场1栋,2016/6/6
