行政区,楼名称及栋号,三级转移登记时间
罗湖,住宅楼1栋,2016/1/4
罗湖,住宅2栋,2016/1/4
罗湖,金城大厦5栋,2016/1/4
罗湖,天地大厦,2016/1/4
罗湖,金湖山庄别墅B7栋,2016/1/4
罗湖,宝丽大厦2座,2016/1/4
罗湖,富达花园1栋,2016/1/4
罗湖,东湖大厦湖山阁,2016/1/4
罗湖,清水河生活小区6栋,2016/1/4
罗湖,时尚新居1栋,2016/1/4
罗湖,金丽豪苑鹏云阁,2016/1/4
罗湖,长丰苑曼域轩(主楼),2016/1/4
罗湖,长丰苑曼域轩(主楼),2016/1/4
罗湖,金园,2016/1/4
罗湖,鹏兴花园36栋,2016/1/4
罗湖,旭飞华天苑B栋,2016/1/4
罗湖,旭飞华天苑A栋,2016/1/4
罗湖,百仕达花园三期3栋,2016/1/4
罗湖,百仕达花园三期4栋,2016/1/4
罗湖,旭飞华达园东京阁,2016/1/4
罗湖,旭飞华达园东京阁,2016/1/4
罗湖,聚福花园C栋,2016/1/4
罗湖,聚龙大厦B栋,2016/1/4
罗湖,景贝南19栋,2016/1/4
罗湖,阳光天地家园B座明月阁,2016/1/4
罗湖,鹏城合正星园D栋,2016/1/4
罗湖,好年华大厦,2016/1/4
罗湖,怡泰大厦B座,2016/1/4
福田,黄木岗北区56栋,2016/1/4
福田,八卦岭鹏基单身公寓第53栋,2016/1/4
福田,杰恩大厦,2016/1/4
福田,好景豪园怡景阁,2016/1/4
福田,中银花园新华阁,2016/1/4
福田,鹏盛村高层公寓1栋,2016/1/4
福田,汇龙花园6栋,2016/1/4
福田,缔梦园丽梦轩,2016/1/4
福田,缔梦园丽梦轩,2016/1/4
福田,百兴苑5栋,2016/1/4
福田,嘉洲豪园二期,2016/1/4
福田,益田花园D区28栋,2016/1/4
福田,梅林一村53栋,2016/1/4
福田,现代之窗大厦,2016/1/4
福田,金海丽名居B座,2016/1/4
福田,缔馨园A栋,2016/1/4
福田,通业大厦3号楼,2016/1/4
福田,百花园芙蓉阁,2016/1/4
福田,裕康时尚名居A栋,2016/1/4
福田,绿景新苑二期B座,2016/1/4
福田,皇御苑B区10栋,2016/1/4
福田,皇御苑B区14栋,2016/1/4
福田,皇庭世纪花园6号楼,2016/1/4
福田,皇庭世纪花园6号楼,2016/1/4
福田,皇庭世纪花园9号楼,2016/1/4
