0	0	0.0	0.0	0.0	0.0
3	0	0.428571428571	0.0	0.494871659305	0.0
3	0	0.375	0.0	0.695970545354	0.0
14.0	10.0	0.823529411765	0.588235294118	1.01374634939	1.23948867681
0	0	0.0	0.0	0.0	0.0
1.0	5.5	0.142857142857	0.785714285714	0.349927106112	1.24948969175
2	2	0.2	0.2	0.4	0.6
3	0	0.375	0.0	0.695970545354	0.0
12.0	1.0	1.71428571429	0.142857142857	4.19912527334	0.349927106112
3.0	7.0	0.125	0.291666666667	0.438985573036	0.454529671443
1.0	1.0	0.166666666667	0.166666666667	0.37267799625	0.37267799625
42.0	26.5
