“星河传奇花园”(二期),2015/8/4,15-Dec,宝安,龙华新区民治上塘,8,723,35037329,48434
“星河传奇花园”(二期),2015/8/4,15-Nov,宝安,龙华新区民治上塘,31,2739,133886787,48876
“星河传奇花园”(二期),2015/8/4,15-Oct,宝安,龙华新区民治上塘,68,6203,296641227,47825
“星河传奇花园”(二期),2015/8/4,15-Sep,宝安,龙华新区民治上塘,26,2372,114191942,48135
“星河传奇花园”(二期),2015/8/4,15-Aug,宝安,龙华新区民治上塘,31,2889,139985677,48450
爱地花园,2011/5/19,13-Oct,龙岗,龙岗区龙城街道,1,120,1250000,10410
爱地花园,2011/5/19,13-Mar,龙岗,龙岗区龙城街道,4,391,4339000,11086
爱地花园,2011/5/19,13-Jan,龙岗,龙岗区龙城街道,7,788,8115957,10296
安鸿峰景苑,2013/10/17,15-May,龙岗,龙岗区南湾街道,3,264,5033765,19034
安鸿峰景苑,2013/10/17,15-Apr,龙岗,龙岗区南湾街道,15,1374,24871702,18102
安鸿峰景苑,2013/10/17,15-Mar,龙岗,龙岗区南湾街道,26,2371,42529771,17941
安鸿峰景苑,2013/10/17,15-Feb,龙岗,龙岗区南湾街道,7,649,11350000,17495
安鸿峰景苑,2013/10/17,15-Jan,龙岗,龙岗区南湾街道,21,1903,33078669,17387
安鸿峰景苑,2013/10/17,14-Dec,龙岗,龙岗区南湾街道,13,1257,21956716,17470
安鸿峰景苑,2013/10/17,14-Nov,龙岗,龙岗区南湾街道,9,877,15537840,17718
安鸿峰景苑,2013/10/17,14-Oct,龙岗,龙岗区南湾街道,7,614,10911175,17780
安鸿峰景苑,2013/10/17,14-Sep,龙岗,龙岗区南湾街道,9,875,15522822,17730
安鸿峰景苑,2013/10/17,14-Aug,龙岗,龙岗区南湾街道,5,440,7830402,17789
安鸿峰景苑,2013/10/17,14-Jul,龙岗,龙岗区南湾街道,14,1341,23831685,17769
安鸿峰景苑,2013/10/17,14-Apr,龙岗,龙岗区南湾街道,10,877,15633108,17817
安鸿峰景苑,2013/10/17,14-Mar,龙岗,龙岗区南湾街道,5,437,7819073,17889
安鸿峰景苑,2013/10/17,14-Feb,龙岗,龙岗区南湾街道,15,1397,25430398,18200
安鸿峰景苑,2013/10/17,14-Jan,龙岗,龙岗区南湾街道,1,87,1627939,18611
岸上林居,2014/12/12,15-Dec,龙岗,龙岗区龙城街道,15,1421,39093100,27505
岸上林居,2014/12/12,15-Nov,龙岗,龙岗区龙城街道,24,2322,63991758,27559
岸上林居,2014/12/12,15-Oct,龙岗,龙岗区龙城街道,47,4425,119921623,27100
岸上林居,2014/12/12,15-Sep,龙岗,龙岗区龙城街道,27,2480,54020987,21785
岸上林居,2014/12/12,15-Aug,龙岗,龙岗区龙城街道,30,2796,57830990,20681
岸上林居,2014/12/12,15-Jul,龙岗,龙岗区龙城街道,59,5496,109709387,19961
岸上林居,2014/12/12,15-Jun,龙岗,龙岗区龙城街道,94,8809,170601785,19368
岸上林居,2014/12/12,15-May,龙岗,龙岗区龙城街道,104,9260,168135858,18157
岸上林居,2014/12/12,15-Apr,龙岗,龙岗区龙城街道,135,11658,204036737,17502
岸上林居,2014/12/12,15-Mar,龙岗,龙岗区龙城街道,35,2891,49460922,17107
岸上林居,2014/12/12,15-Feb,龙岗,龙岗区龙城街道,43,3506,59749419,17040
