112438,1
125631,1
130296,1
135196,1
155473,1
177113,1
177114,0
177179,1
192808,0
193710,1
194391,1
198369,1
200517,1
204993,1
237932,1
262569,0
278393,1
278395,1
278402,0
290841,0
295492,1
301046,1
301056,1
301098,1
303506,1
305282,0
309832,1
316403,1
329956,1
331219,1
331271,1
331541,1
334064,1
334854,1
337587,1
337840,1
337859,1
342535,1
364681,1
376250,0
378770,1
379420,0
386709,1
386711,1
390182,1
390183,1
396641,1
397053,1
397153,1
400732,1
400767,1
400796,0
401020,1
401811,1
402718,1
402732,1
403266,1
403268,1
403470,1
404605,1
404608,1
414082,0
415003,1
418208,1
425753,1
425755,1
425756,1
426691,1
428111,1
428113,0
428114,1
428115,1
428116,1
428121,1
428122,1
428124,0
428127,1
428128,1
428130,1
428133,1
428134,1
428135,1
429014,1
429015,1
429492,1
429723,1
431428,1
431449,1
431450,1
431748,1
433524,1
438126,1
441192,1
441930,1
442757,1
447563,0
447740,1
447760,0
447836,1
448987,1
